white_id,black_id,result,timestamp
a-00,skinnerua,0.0,2017-08-30 21:53:20+00:00
ischia,a-00,1.0,2017-08-30 21:53:20+00:00
daniamurashov,adivanov2009,1.0,2017-08-30 16:20:00+00:00
nik221107,adivanov2009,1.0,2017-08-29 18:06:40+00:00
capa_jr,daniel_likes_chess,1.0,2017-09-01 01:40:00+00:00
ehabfanri,daniel_likes_chess,0.0,2017-08-23 17:40:00+00:00
daniel_likes_chess,mirco25,1.0,2017-08-22 22:13:20+00:00
robotsmoke,shivangithegenius,1.0,2017-08-17 06:06:40+00:00
shivangithegenius,ivangonzalez123,0.0,2017-08-16 05:06:40+00:00
shivangithegenius,sureka_akshat,1.0,2017-08-15 06:53:20+00:00
gmcarlsen403,shivangithegenius,1.0,2017-08-15 06:53:20+00:00
mannat1,shivangithegenius,0.0,2017-08-15 06:53:20+00:00
shivangithegenius,biyanivedant01,0.0,2017-08-15 06:53:20+00:00
shivangithegenius,chinmaysharma,0.0,2017-08-15 06:53:20+00:00
biyanivedant01,shivangithegenius,0.0,2017-08-15 06:53:20+00:00
rv0209,shivangithegenius,0.0,2017-08-15 06:53:20+00:00
vihaandumir,shivangithegenius,1.0,2017-08-15 06:53:20+00:00
shivangithegenius,sorethea,0.0,2017-08-11 05:40:00+00:00
rico21,shivangithegenius,1.0,2017-08-11 05:40:00+00:00
wing175,gerfsh,1.0,2017-08-20 09:06:40+00:00
caramiecho72,gerfsh,1.0,2017-08-19 22:00:00+00:00
mazyaraghgmail,wpc96,1.0,2017-09-01 10:00:00+00:00
anrk,wpc96,0.0,2017-09-01 07:13:20+00:00
wpc96,tbaruel,0.0,2017-08-31 00:40:00+00:00
acahn,wpc96,1.0,2017-08-31 00:40:00+00:00
iskendermyucel,oldpaths,0.0,2017-09-01 01:40:00+00:00
oldpaths,david1488,1.0,2017-08-29 01:26:40+00:00
oldpaths,lc777,0.0,2017-08-29 01:26:40+00:00
jordanfury,oldpaths,1.0,2017-08-29 01:26:40+00:00
porquepepe,oldpaths,0.0,2017-08-29 01:26:40+00:00
gio1212,oldpaths,1.0,2017-08-28 22:40:00+00:00
oldpaths,rubberchicken04,1.0,2017-08-28 03:13:20+00:00
berejokserg,oldpaths,0.0,2017-08-27 05:00:00+00:00
oldpaths,trump216bc,1.0,2017-08-26 23:26:40+00:00
oldpaths,efer003,0.0,2017-08-26 01:13:20+00:00
oldpaths,fcolpo,0.0,2017-08-26 01:13:20+00:00
chesschumpchamp,oldpaths,1.0,2017-08-25 22:26:40+00:00
aminox,oldpaths,0.0,2017-08-25 22:26:40+00:00
oldpaths,sale0706,0.0,2017-08-25 19:40:00+00:00
redar1,oldpaths,1.0,2017-08-25 19:40:00+00:00
oldpaths,insequitur,1.0,2017-08-25 19:40:00+00:00
oldpaths,tb-123,1.0,2017-08-25 19:40:00+00:00
tb-123,oldpaths,1.0,2017-08-25 16:53:20+00:00
oldpaths,iris_foxspring,0.0,2017-08-25 00:13:20+00:00
zoro55,oldpaths,0.0,2017-08-24 04:46:40+00:00
oldpaths,geburah,1.0,2017-08-24 02:00:00+00:00
oldpaths,urmil007,1.0,2017-08-23 03:46:40+00:00
serai,oldpaths,1.0,2017-08-23 03:46:40+00:00
allahdeweswin,oldpaths,0.0,2017-08-23 01:00:00+00:00
oldpaths,antoniogallero,1.0,2017-08-23 01:00:00+00:00
oldpaths,matheuswillx,1.0,2017-08-22 22:13:20+00:00
euler_jr,oldpaths,1.0,2017-08-22 19:26:40+00:00
oldpaths,euler_jr,0.0,2017-08-22 19:26:40+00:00
oldpaths,krillnor,0.0,2017-08-22 19:26:40+00:00
hoanghieudro2,oldpaths,0.0,2017-08-22 02:46:40+00:00
oldpaths,hoanghieudro2,1.0,2017-08-22 02:46:40+00:00
ehabhaddad,oldpaths,1.0,2017-08-22 00:00:00+00:00
oldpaths,gabrielsol,1.0,2017-08-22 00:00:00+00:00
oldpaths,crushmik,0.0,2017-08-22 00:00:00+00:00
amary33,oldpaths,0.0,2017-08-22 00:00:00+00:00
oldpaths,remisero,1.0,2017-08-22 00:00:00+00:00
oldpaths,ryan94,1.0,2017-08-21 21:13:20+00:00
avelez8,anonymous1705,0.5,2017-08-31 17:20:00+00:00
avelez8,ars01,1.0,2017-08-31 14:33:20+00:00
salah04,avelez8,1.0,2017-08-24 02:00:00+00:00
avelez8,vincenzo2000,1.0,2017-08-24 02:00:00+00:00
majid_alsalhi,avelez8,1.0,2017-08-24 02:00:00+00:00
avelez8,pavankumarg,1.0,2017-08-24 02:00:00+00:00
avelez8,mrmaccc,0.0,2017-08-24 02:00:00+00:00
hopefullman15,avelez8,0.0,2017-08-24 02:00:00+00:00
laeca53,avelez8,1.0,2017-08-24 02:00:00+00:00
totoymate,avelez8,1.0,2017-08-24 02:00:00+00:00
avelez8,frynoodles,1.0,2017-08-24 02:00:00+00:00
jdalcheco,avelez8,0.0,2017-08-24 02:00:00+00:00
avelez8,yolandoparada,0.0,2017-08-24 02:00:00+00:00
avelez8,murattibogurcu,0.0,2017-08-24 02:00:00+00:00
cdvh,hunecel,0.0,2017-08-25 16:53:20+00:00
hafedfree,cdvh,1.0,2017-08-25 14:06:40+00:00
decem,cdvh,0.0,2017-08-24 15:53:20+00:00
cdvh,japcan,1.0,2017-08-24 15:53:20+00:00
cdvh,raubstein,0.0,2017-08-24 15:53:20+00:00
ashishbarda,cdvh,0.0,2017-08-24 15:53:20+00:00
omid163,cdvh,0.0,2017-08-24 15:53:20+00:00
cdvh,capito2017,1.0,2017-08-24 15:53:20+00:00
chess-brahs,cdvh,0.0,2017-08-24 13:06:40+00:00
cdvh,dashy1,1.0,2017-08-23 14:53:20+00:00
mosheaugustyn,sassou,0.0,2017-08-30 08:00:00+00:00
sassou,memoryberat,1.0,2017-08-30 08:00:00+00:00
fatmat,sassou,0.0,2017-08-28 22:40:00+00:00
sassou,alpheus23,0.0,2017-08-28 19:53:20+00:00
sureka_akshat,sassou,0.5,2017-08-28 08:46:40+00:00
sassou,kapi77,0.0,2017-08-27 13:20:00+00:00
sassou,cohiba_313,0.0,2017-08-27 10:33:20+00:00
sassou,bagelsfu,0.0,2017-08-26 20:40:00+00:00
sabayossi,sassou,1.0,2017-08-26 20:40:00+00:00
trelynn17,sassou,0.0,2017-08-25 14:06:40+00:00
laeufer26,sassou,0.0,2017-08-22 16:40:00+00:00
sassou,popsun,0.0,2017-08-22 16:40:00+00:00
mdaboczi,sassou,1.0,2017-08-22 13:53:20+00:00
sassou,marktop1,1.0,2017-08-19 16:26:40+00:00
rougethunder,sassou,1.0,2017-08-19 16:26:40+00:00
sassou,shobik24,1.0,2017-08-19 10:53:20+00:00
maninayebi,sassou,0.0,2017-08-19 08:06:40+00:00
sassou,agilm,1.0,2017-08-19 08:06:40+00:00
pune123,sassou,0.0,2017-08-19 08:06:40+00:00
failedocean,sassou,1.0,2017-08-18 21:00:00+00:00
sassou,lumipa,0.5,2017-08-18 21:00:00+00:00
fastandbulbous420,sassou,1.0,2017-08-18 21:00:00+00:00
minimouf,sassou,1.0,2017-08-18 21:00:00+00:00
goodolddaystr,sassou,1.0,2017-08-18 18:13:20+00:00
gonzalogp98,sassou,0.0,2017-08-18 12:40:00+00:00
sassou,vladimir_shindin,0.0,2017-08-18 12:40:00+00:00
sassou,martin74,0.0,2017-08-18 12:40:00+00:00
quent0,sassou,0.0,2017-08-18 09:53:20+00:00
dangerflaps,sassou,1.0,2017-08-18 09:53:20+00:00
sassou,shazzam9999,1.0,2017-08-18 09:53:20+00:00
sassou,chessn00b47,0.0,2017-08-18 09:53:20+00:00
japonxino,isachess,1.0,2017-08-31 00:40:00+00:00
isachess,roshan_ie,1.0,2017-08-28 19:53:20+00:00
cliff_walker,isachess,1.0,2017-08-27 02:13:20+00:00
isachess,sergej1956,1.0,2017-08-25 19:40:00+00:00
isachess,pogrib,0.0,2017-08-25 03:00:00+00:00
isachess,tartetatin,1.0,2017-08-25 00:13:20+00:00
juncinmestrella,isachess,1.0,2017-08-25 00:13:20+00:00
isachess,robinhood76,1.0,2017-08-25 00:13:20+00:00
tohaimr7,isachess,0.0,2017-08-24 18:40:00+00:00
zpectral-chess,isachess,1.0,2017-08-24 04:46:40+00:00
javier_temperley,isachess,1.0,2017-08-23 03:46:40+00:00
isachess,jadesummer,1.0,2017-08-23 01:00:00+00:00
jadesummer,isachess,1.0,2017-08-23 01:00:00+00:00
isachess,borvel,1.0,2017-08-22 22:13:20+00:00
demetrio50,isachess,0.0,2017-08-22 16:40:00+00:00
isachess,maxpiz5,0.0,2017-08-21 18:26:40+00:00
isachess,philiveykk,0.0,2017-08-21 18:26:40+00:00
azcatdave,isachess,0.0,2017-08-20 03:33:20+00:00
fikr,isachess,1.0,2017-08-19 05:20:00+00:00
isachess,samdooley,0.0,2017-08-19 02:33:20+00:00
isachess,dzigibau,0.0,2017-08-17 03:20:00+00:00
edil1800,isachess,1.0,2017-08-07 01:40:00+00:00
humb,isachess,0.0,2017-08-06 00:40:00+00:00
isachess,claudiucojo,0.5,2017-08-04 20:53:20+00:00
isachess,abikhoshnavaz,1.0,2017-08-01 17:53:20+00:00
isachess,sakkkakas,1.0,2017-08-01 15:06:40+00:00
seetripuu,isachess,0.0,2017-07-29 01:00:00+00:00
seif22,isachess,1.0,2017-07-28 00:00:00+00:00
isachess,tajbo4,0.0,2017-07-27 21:13:20+00:00
nespil,isachess,0.0,2017-07-27 21:13:20+00:00
isachess,turix,0.0,2017-07-27 01:46:40+00:00
sergeylobanov,isachess,0.0,2017-07-26 17:26:40+00:00
clown_with_a_knife,isachess,0.0,2017-07-26 03:33:20+00:00
phileasfrog,taranga,0.0,2017-08-31 11:46:40+00:00
patrizio67,taranga,1.0,2017-08-31 11:46:40+00:00
piroz_xucestih,taranga,1.0,2017-08-30 08:00:00+00:00
taranga,piroz_xucestih,0.0,2017-08-30 08:00:00+00:00
lelik3310,taranga,1.0,2017-08-30 08:00:00+00:00
cesar1945,taranga,0.0,2017-08-27 05:00:00+00:00
xapoh,taranga,1.0,2017-08-26 15:06:40+00:00
taranga,jamila1234,1.0,2017-08-26 12:20:00+00:00
taranga,hknight_chess,0.0,2017-08-26 12:20:00+00:00
moon50,taranga,1.0,2017-08-25 14:06:40+00:00
taranga,moon50,1.0,2017-08-25 11:20:00+00:00
taranga,naoufel,0.0,2017-08-24 13:06:40+00:00
taranga,moon50,0.0,2017-08-23 17:40:00+00:00
moon50,taranga,0.0,2017-08-23 17:40:00+00:00
taranga,moon50,0.0,2017-08-23 17:40:00+00:00
taranga,moon50,0.5,2017-08-23 17:40:00+00:00
trotil45,taranga,0.0,2017-08-22 13:53:20+00:00
taranga,hsanderr,1.0,2017-08-22 11:06:40+00:00
taranga,madara21,0.0,2017-08-21 18:26:40+00:00
